1 
1  40
0.00000E+00	5.38000E+00	1.00000E+02	1	;
2.29806E+00	5.40246E+00	9.95842E+01	1	;
4.59611E+00	5.46391E+00	9.80261E+01	1	;
6.89417E+00	5.55541E+00	9.57536E+01	1	;
9.19223E+00	5.66803E+00	9.14095E+01	1	;
1.14903E+01	5.79286E+00	8.62044E+01	1	;
1.37883E+01	5.92097E+00	8.02334E+01	1	;
1.60864E+01	6.04343E+00	7.35863E+01	1	;
1.83845E+01	6.15132E+00	6.63926E+01	1	;
2.06825E+01	6.23570E+00	5.89898E+01	1	;
2.29806E+01	6.28767E+00	5.20742E+01	1	;
2.52786E+01	6.29828E+00	4.64137E+01	1	;
2.75767E+01	6.25862E+00	4.21060E+01	1	;
2.98747E+01	6.15976E+00	3.89694E+01	1	;
3.21728E+01	5.99278E+00	3.66318E+01	1	;
3.44709E+01	5.74874E+00	3.50033E+01	1	;
3.67689E+01	5.44352E+00	3.39575E+01	1	;
3.90670E+01	5.16133E+00	3.29042E+01	1	;
4.13650E+01	4.90293E+00	3.17828E+01	1	;
4.36631E+01	4.66166E+00	3.06657E+01	1	;
4.59611E+01	4.43131E+00	2.96195E+01	1	;
4.82592E+01	4.20648E+00	2.87035E+01	1	;
5.05573E+01	3.99512E+00	2.78783E+01	1	;
5.28553E+01	3.80137E+00	2.71224E+01	1	;
5.51534E+01	3.62600E+00	2.64195E+01	1	;
5.74514E+01	3.46829E+00	2.57572E+01	1	;
5.97495E+01	3.32607E+00	2.50843E+01	1	;
6.20475E+01	3.19929E+00	2.43563E+01	1	;
6.43456E+01	3.08710E+00	2.35963E+01	1	;
6.66437E+01	2.97904E+00	2.28951E+01	1	;
6.89417E+01	2.87231E+00	2.22832E+01	1	;
7.12398E+01	2.76425E+00	2.17901E+01	1	;
7.35378E+01	2.65128E+00	2.13727E+01	1	;
7.58359E+01	2.52830E+00	2.09435E+01	1	;
7.81340E+01	2.38799E+00	2.05121E+01	1	;
8.04320E+01	2.21940E+00	2.01831E+01	1	;
8.27301E+01	2.00528E+00	1.99688E+01	1	;
8.50281E+01	1.73541E+00	1.99688E+01	1	;
8.73262E+01	1.42560E+00	1.99688E+01	1	;
8.96242E+01	1.04383E+00	1.99688E+01	1	;
