1
1  40
0.00000E+00 5.38000E+00 1.00000E+02 1  ;
2.27433E+00 5.40434E+00 9.95497E+01 1  ;
4.54867E+00 5.47085E+00 9.78920E+01 1  ;
6.82300E+00 5.56980E+00 9.45511E+01 1  ;
9.09733E+00 5.69144E+00 9.01233E+01 1  ;
1.13717E+01 5.82603E+00 8.48566E+01 1  ;
1.36460E+01 5.96382E+00 7.88603E+01 1  ;
1.59203E+01 6.09508E+00 7.22331E+01 1  ;
1.81947E+01 6.21006E+00 6.51068E+01 1  ;
2.04690E+01 6.29902E+00 5.78129E+01 1  ;
2.27433E+01 6.35222E+00 5.10296E+01 1  ;
2.50177E+01 6.35990E+00 4.55044E+01 1  ;
2.72920E+01 6.31234E+00 4.13302E+01 1  ;
2.95663E+01 6.19978E+00 3.83306E+01 1  ;
3.18407E+01 6.01249E+00 3.61466E+01 1  ;
3.41150E+01 5.74072E+00 3.47016E+01 1  ;
3.63893E+01 5.43412E+00 3.36761E+01 1  ;
3.86637E+01 5.15703E+00 3.26024E+01 1  ;
4.09380E+01 4.90174E+00 3.14726E+01 1  ;
4.32123E+01 4.66208E+00 3.03563E+01 1  ;
4.54867E+01 4.43081E+00 2.93266E+01 1  ;
4.77610E+01 4.20677E+00 2.84146E+01 1  ;
5.00353E+01 3.99778E+00 2.75812E+01 1  ;
5.23097E+01 3.80708E+00 2.68110E+01 1  ;
5.45840E+01 3.63509E+00 2.60899E+01 1  ;
5.68583E+01 3.48099E+00 2.54066E+01 1  ;
5.91327E+01 3.34289E+00 2.47084E+01 1  ;
6.14070E+01 3.22114E+00 2.39492E+01 1  ;
6.36813E+01 3.10821E+00 2.32016E+01 1  ;
6.59557E+01 2.99825E+00 2.25209E+01 1  ;
6.82300E+01 2.88917E+00 2.19317E+01 1  ;
7.05043E+01 2.77824E+00 2.14636E+01 1  ;
7.27787E+01 2.66180E+00 2.10753E+01 1  ;
7.50530E+01 2.53477E+00 2.06812E+01 1  ;
7.73273E+01 2.38988E+00 2.02910E+01 1  ;
7.96017E+01 2.21643E+00 2.00080E+01 1  ;
8.18760E+01 1.99765E+00 1.98446E+01 1  ;
8.41503E+01 1.72881E+00 1.98446E+01 1  ;
8.64247E+01 1.42017E+00 1.98446E+01 1  ;
8.86990E+01 1.03985E+00 1.98446E+01 1  ;
