1 number of sets
#1
$1  51
0.000000000000000000e+00 1.280970765727274738e+03 -4.356938994153487267e-03 -3.638246911528252980e-03 1.892790901356786293e+00 1.831821908017493339e+00 -2.998570025230701958e-03 -9.816938423597024524e-03 1.261237767420000076e+10 2.526806621369999886e+09 5.689084142131142663e+00 5.609919459458578395e+00 1.260096556019133907e+01 5.452144532830000001e-01 7.039023117699999554e-01 1.518644617928386786e+00 0.000000000000000000e+00 -5.050040995899207283e-03 -3.351866640358550694e-03
2.091238738139801878e+00 1.283267092681386430e+03 -5.649376673444669178e-03 -3.783773387265761817e-03 1.893542471327264831e+00 1.831559604135586827e+00 -3.713323846561568387e-03 -9.963945260370367721e-03 1.264187641729999924e+10 2.527648248869999886e+09 5.703671633131587981e+00 5.606484805033236540e+00 1.260695373300995037e+01 5.456707508729999878e-01 7.029698211820000209e-01 1.519866085737145101e+00 0.000000000000000000e+00 -6.509541908289188418e-03 -3.424078996599494006e-03
3.883589732453171628e+00 1.295246432098834475e+03 -1.220177566097814872e-02 -5.912290105150197310e-03 1.888233678423146378e+00 1.826200230349203535e+00 -1.657119460886317258e-03 -8.798226446557481234e-03 1.251169505850000000e+10 2.480149313260000229e+09 5.839025581763501727e+00 5.665858829461099866e+00 1.277633764172054320e+01 5.504454699840000131e-01 6.937262793799999772e-01 1.556355643973488467e+00 0.000000000000000000e+00 -6.357914309377290379e-03 -4.267352932856251745e-03
5.675774689550333818e+00 1.261561239666785013e+03 -1.793841220450402910e-02 -5.612755022730851577e-03 1.860342291933685388e+00 1.813574565563319085e+00 6.489232213867789090e-03 5.141311699412753379e-03 1.232125201020000076e+10 2.428219917769999981e+09 5.661101284369837394e+00 5.467061327084949518e+00 1.222419701602717801e+01 5.614342221520000065e-01 6.738861936140000397e-01 1.543130263498281751e+00 0.000000000000000000e+00 -1.667477426140098751e-02 -4.638231536340422199e-03
7.467990778625534176e+00 1.199248747438906094e+03 -1.479722436846757491e-03 -8.541727475418340806e-03 1.801228525049473728e+00 1.786460635169925482e+00 3.878933047094023506e-02 1.153191045316845700e-02 1.144143774639999962e+10 2.208310035219999790e+09 5.529726266177832805e+00 5.376665487188325265e+00 1.162725921248468630e+01 5.700725571139999559e-01 6.403877197220000372e-01 1.585824343340374476e+00 0.000000000000000000e+00 1.404563266060435307e-02 -5.443691768814090150e-03
9.260206867700736311e+00 1.129990610788897357e+03 1.988332315768585185e-02 -3.775853573067230844e-03 1.679792494351820320e+00 1.784498269392607250e+00 1.163868342715563831e-01 3.846793190298026383e-02 1.095345052420000076e+10 2.086808227720000029e+09 4.669418193917015181e+00 5.385215970843666433e+00 1.021991958925154975e+01 5.857277187149999564e-01 5.847446280529999818e-01 1.569228601931861977e+00 -4.280395488900000345e+01 4.239572076625584829e-02 2.604063794301607771e-03
1.105216352362561061e+01 1.049566643193865957e+03 1.018167867440917251e-01 4.112541045687471107e-03 1.571321600691767406e+00 1.728583954456500260e+00 3.018496284533257468e-01 6.997813224967698587e-02 1.016250274789999962e+10 1.902067135509999990e+09 4.084521317803874396e+00 5.013920263867584382e+00 8.517284856166938312e+00 5.939147863889999712e-01 5.245650234249999988e-01 1.571343132757610839e+00 -3.590939731059999929e+01 1.416570529354351238e-01 8.372723216900907275e-03
1.284297867368905699e+01 9.786140990019052879e+02 1.620562991070391146e-01 1.289752409474425113e-02 1.435953826174122705e+00 1.693401829294994609e+00 5.181501665933463396e-01 1.039250992599849710e-01 9.683211777170000076e+09 1.785633828869999886e+09 3.400059254934246322e+00 4.535171392001062785e+00 6.559902374251207924e+00 5.913668887230000282e-01 4.598905021640000146e-01 1.540366167417896337e+00 -2.573682825819999920e+01 2.118089741866445441e-01 1.140222543047324406e-02
1.463638815525575332e+01 9.356783357927321276e+02 2.639249956668402453e-01 2.289690727513594634e-02 1.296975329716266057e+00 1.668372691608028147e+00 7.827831966042754219e-01 9.494859794014474941e-02 9.337642400860000610e+09 1.709739599880000114e+09 2.818078930224916068e+00 4.193721271322257138e+00 5.051658790136057675e+00 5.954269862909999933e-01 4.070510537290000230e-01 1.528625184576488660e+00 -1.892689441370000125e+01 3.220686847917882401e-01 1.703987140114619075e-02
1.613072310112778140e+01 9.105173550188144418e+02 3.338423994877656176e-01 3.165857363087562493e-02 1.197307561613859539e+00 1.660252760110325410e+00 9.698507878666789983e-01 9.966233036199072248e-02 9.374648500680000305e+09 1.739422962509999990e+09 2.365779907646178959e+00 3.929656695256666055e+00 4.019081106866739361e+00 6.126974997490000074e-01 3.636300070749999835e-01 1.481428902412194493e+00 -1.427625253639999947e+01 4.004708583232171604e-01 2.359847217418902313e-02
